Month,Year,Patient_Spend,Patient_Visits
6,2019,1500.5775547259445,21538
1,2023,2744.7758311612106,21747
4,2019,2923.682350583844,22114
12,2019,2846.837264527951,22730
4,2022,3129.159907445632,22160
8,2023,4147.830452484116,23073
10,2016,2231.1158441957477,22190
4,2020,1698.0407310591113,21442
6,2020,3802.309438298706,22686
3,2021,2267.3197815446492,21636
5,2017,1173.7675626878622,21275
8,2016,4799.280888683945,23383
7,2021,4740.9268364597865,23168
9,2023,2362.135304485734,22288
9,2019,1955.0858871080218,22109
11,2016,1513.5218589797987,21972
2,2022,4483.600670452286,22619
7,2015,2769.6411854191138,22223
8,2016,2781.737854870694,22354
8,2020,4574.800102493773,23281
9,2020,1519.0055099169535,21854
2,2022,2457.6815648445845,21662
6,2023,2095.051799800869,21823
10,2018,2871.4820362311166,22631
9,2019,4534.72252027226,23376
10,2023,4630.214796237054,23492
5,2016,2585.01739446953,21922
4,2023,3785.0090371876768,22614
1,2015,3957.5799287024342,22236
4,2017,4490.741747513974,22860
6,2023,1110.0297484927394,21395
1,2020,1743.498942751467,21180
3,2015,3566.438198975722,22215
4,2021,4496.919052060004,22768
9,2022,1900.1343746726889,21972
2,2022,4255.875759696091,22514
4,2019,1033.1943001947495,21151
4,2016,1101.9316412808244,21084
4,2022,3124.1253731788784,22225
8,2017,2150.6601303473976,22073
1,2023,3091.0668803616745,21846
2,2023,3741.728064889363,22232
10,2020,4746.696868396635,23618
10,2018,2343.2949554342895,22324
1,2017,4621.729885493071,22565
11,2018,4323.05489720633,23526
5,2015,4307.475195032848,22779
8,2022,4922.86605974663,23512
4,2023,3939.5646532617093,22558
12,2023,1293.545394463175,22066
3,2021,1295.9167409200672,21224
8,2018,2234.026142268698,22024
3,2022,4428.016075910082,22743
1,2016,4068.702948653931,22293
1,2019,3038.2911020595775,21838
5,2019,1018.64487390734,21119
6,2017,1684.3959165300455,21669
6,2018,1091.1552764366795,21371
7,2022,3756.9400299982176,22713
9,2020,2737.265058685025,22480
5,2021,1149.2257353196233,21291
2,2018,3869.017990446747,22380
5,2016,3732.9814503856637,22479
10,2015,2866.488528905309,22529
11,2021,1656.074683175241,22152
11,2015,3980.7317339500755,23182
9,2018,3971.2872019776305,23128
2,2017,1035.6079287857983,20846
2,2018,4386.609172340822,22617
8,2017,2137.750668456946,22002
10,2018,4567.053635304343,23522
10,2023,2329.9231950639046,22433
4,2023,4688.600447880485,22954
7,2016,1614.7472888105785,21710
8,2015,3351.0794165734087,22656
12,2022,4303.609518868916,23522
3,2021,2983.8361282945007,22020
12,2020,3721.2814043274548,23303
1,2017,2258.2075914277784,21387
4,2022,1415.771357188985,21394
6,2015,1395.1414310423584,21492
10,2023,1108.8319742654614,21797
11,2022,4577.092100150503,23650
5,2023,3583.8313342546703,22524
12,2020,2941.6555205422455,22830
5,2023,2006.2026103137396,21773
7,2015,3657.1825721788127,22693
5,2022,3611.096692134811,22525
5,2023,2034.503943009236,21743
4,2020,1058.2058418491652,21163
5,2023,2672.2480635781685,22113
5,2019,2897.484250983902,22150
9,2016,2190.0344846124303,22200
5,2018,1449.8292245135644,21373
4,2015,1161.7019894457105,21209
11,2023,4387.269937201907,23574
8,2022,1938.9852388850852,22109
6,2020,1084.0030684784315,21343
6,2022,1535.9198385742175,21591
1,2021,2768.6756665196745,21589
2,2022,4931.990327320354,22852
6,2017,4472.178055162809,22978
10,2020,4545.424397591725,23526
4,2018,4099.7509654770765,22689
1,2016,1569.995241688169,21082
6,2021,4387.172084934453,22961
1,2019,1977.4195420943051,21270
2,2016,1671.3807101061616,21184
3,2019,2676.4140810859026,21879
5,2021,4626.83781192644,23030
3,2020,2439.8275378004705,21768
1,2016,3887.9894946783056,22183
4,2015,1917.6080471630275,21523
3,2017,3870.032699508317,22387
11,2020,4142.611833978626,23394
1,2023,4104.989690689403,22462
8,2022,3480.0305366456937,22676
6,2023,4761.3405617189255,23121
10,2018,2480.15637336524,22441
1,2019,4814.894202318508,22709
11,2021,1289.1121042127645,21941
3,2015,4826.83257285796,22947
12,2021,1320.1039918723843,22034
11,2015,3708.830653310978,23117
8,2022,3648.166304742972,22743
12,2019,3591.806014769819,23120
3,2021,3531.0118779128516,22339
10,2020,2768.414908597366,22492
3,2023,4071.9497759801616,22577
4,2019,3814.33130562391,22572
12,2016,3850.204824593809,23317
4,2020,3904.806918877388,22565
3,2016,3944.231187727254,22488
4,2022,1392.7513342514667,21245
5,2016,3816.543976592233,22567
2,2016,3473.671690138355,22070
3,2022,1560.400507615238,21279
12,2023,4003.7008820541478,23492
10,2019,4041.2474621857837,23201
11,2015,4652.651005306476,23659
2,2023,2450.871981790574,21745
5,2023,2207.4160985056596,21894
11,2015,3655.2561387351266,23143
7,2017,1722.812268123921,21715
12,2022,4976.739135435955,23834
9,2017,4918.632581016569,23500
12,2019,3865.74871755489,23349
3,2021,1620.5113074325732,21303
4,2017,1726.6118552207063,21483
1,2019,4666.647558628221,22593
1,2016,2790.1747011714388,21630
7,2023,1439.5854052218904,21689
1,2016,2449.7754572663157,21572
7,2020,4132.966261139037,22928
4,2022,4071.1538746431406,22618
11,2021,4542.182594948965,23605
4,2019,4540.365391167477,22966
