model,strategy,cost_floor,copycats,n_signals,n_executed,final_capital,roi,max_drawdown
hist_gbm,general_ev,0.001,1,112031,1470,2313.200551184107,-0.7686799448815893,7686.799448815893
hist_gbm,general_ev,0.001,5,112031,1972,1962.6706100189904,-0.8037329389981009,8037.32938998101
hist_gbm,general_ev,0.001,10,112031,2080,1366.5139825184638,-0.8633486017481536,8633.486017481537
hist_gbm,general_ev,0.001,25,112031,2065,1615.693639833031,-0.8384306360166969,8384.30636016697
hist_gbm,general_ev,0.001,50,112031,2312,2942.125740515862,-0.7057874259484138,7057.874259484138
hist_gbm,general_ev,0.001,100,112031,2320,4638.775369805471,-0.5361224630194529,5361.224630194529
hist_gbm,general_ev,0.01,1,112031,1470,2313.200551184107,-0.7686799448815893,7686.799448815893
hist_gbm,general_ev,0.01,5,112031,1972,1962.6706100189904,-0.8037329389981009,8037.32938998101
hist_gbm,general_ev,0.01,10,112031,2080,1366.5139825184638,-0.8633486017481536,8633.486017481537
hist_gbm,general_ev,0.01,25,112031,2065,1615.693639833031,-0.8384306360166969,8384.30636016697
hist_gbm,general_ev,0.01,50,112031,2312,2942.125740515862,-0.7057874259484138,7057.874259484138
hist_gbm,general_ev,0.01,100,112031,2320,4638.775369805471,-0.5361224630194529,5361.224630194529
hist_gbm,general_ev,0.05,1,112031,1470,2313.200551184107,-0.7686799448815893,7686.799448815893
hist_gbm,general_ev,0.05,5,112031,1972,1962.6706100189904,-0.8037329389981009,8037.32938998101
hist_gbm,general_ev,0.05,10,112031,2080,1366.5139825184638,-0.8633486017481536,8633.486017481537
hist_gbm,general_ev,0.05,25,112031,2065,1615.693639833031,-0.8384306360166969,8384.30636016697
hist_gbm,general_ev,0.05,50,112031,2312,2942.125740515862,-0.7057874259484138,7057.874259484138
hist_gbm,general_ev,0.05,100,112031,2320,4638.775369805471,-0.5361224630194529,5361.224630194529
hist_gbm,general_ev,0.1,1,112031,1470,2313.200551184107,-0.7686799448815893,7686.799448815893
hist_gbm,general_ev,0.1,5,112031,1972,1962.6706100189904,-0.8037329389981009,8037.32938998101
hist_gbm,general_ev,0.1,10,112031,2080,1366.5139825184638,-0.8633486017481536,8633.486017481537
hist_gbm,general_ev,0.1,25,112031,2065,1615.693639833031,-0.8384306360166969,8384.30636016697
hist_gbm,general_ev,0.1,50,112031,2312,2942.125740515862,-0.7057874259484138,7057.874259484138
hist_gbm,general_ev,0.1,100,112031,2320,4638.775369805471,-0.5361224630194529,5361.224630194529
hist_gbm,general_ev,0.2,1,119958,3970,23114.11772247952,1.3114117722479521,97.38949999996112
hist_gbm,general_ev,0.2,5,119958,3634,15691.110800763612,0.5691110800763612,81.00000000000364
hist_gbm,general_ev,0.2,10,119958,3705,13746.20348227107,0.37462034822710705,86.99999999999454
hist_gbm,general_ev,0.2,25,119958,3217,11923.205913275473,0.1923205913275473,133.50000000000364
hist_gbm,general_ev,0.2,50,119958,2979,10972.78650879757,0.09727865087975697,199.5000000000109
hist_gbm,general_ev,0.2,100,119958,2020,10395.401502925284,0.039540150292528414,129.25974750000205
