model,strategy,initial_capital,max_bet_pct,liquidity_scaler,n_signals,n_executed,final_capital,roi,max_drawdown,skipped_capital,skipped_concentration
logreg_l2,general_ev,1000,0.01,1.0,119795,369,328.3323586709046,-0.6716676413290954,707.2678401665333,0,80846
logreg_l2,general_ev,1000,0.01,0.1,119795,432,299.5162711963599,-0.7004837288036402,718.1028783974074,0,78624
logreg_l2,general_ev,1000,0.05,1.0,119795,229,249.8824446619817,-0.7501175553380183,782.7272022564049,0,81073
logreg_l2,general_ev,1000,0.05,0.1,119795,347,227.61096329233735,-0.7723890367076627,795.6076334004447,0,78884
logreg_l2,general_ev,1000,0.1,1.0,119795,190,220.6357437967564,-0.7793642562032436,790.2469962092097,0,81090
logreg_l2,general_ev,1000,0.1,0.1,119795,320,226.16985331299207,-0.773830146687008,806.5186377705144,0,78903
logreg_l2,general_ev,10000,0.01,1.0,119795,1751,2051.796602318537,-0.7948203397681463,7958.246889677832,0,96508
logreg_l2,general_ev,10000,0.01,0.1,119795,2372,1514.0574490748302,-0.8485942550925171,8485.94255092517,0,103566
logreg_l2,general_ev,10000,0.05,1.0,119795,1250,2218.82537505761,-0.7781174624942391,7996.987561287151,0,102054
logreg_l2,general_ev,10000,0.05,0.1,119795,1937,1210.3600483984776,-0.8789639951601522,8789.639951601523,0,78054
logreg_l2,general_ev,10000,0.1,1.0,119795,1163,2228.2915405450544,-0.7771708459454945,8014.523165523513,0,102708
logreg_l2,general_ev,10000,0.1,0.1,119795,1869,1194.130193915134,-0.8805869806084865,8805.869806084866,0,78063
logreg_l2,general_ev,100000,0.01,1.0,119795,7242,20663.717953205687,-0.793362820467943,79336.28204679431,0,107111
logreg_l2,general_ev,100000,0.01,0.1,119795,11347,41940.677673583385,-0.5805932232641662,58059.322326416615,0,58949
logreg_l2,general_ev,100000,0.05,1.0,119795,7055,19219.730501030175,-0.8078026949896983,80780.26949896982,0,103326
logreg_l2,general_ev,100000,0.05,0.1,119795,11347,41940.677673583385,-0.5805932232641662,58059.322326416615,0,58949
logreg_l2,general_ev,100000,0.1,1.0,119795,6990,19206.85932037982,-0.8079314067962018,80793.14067962018,0,103327
