number,value,state,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,duration
0,0.7248207196937313,COMPLETE,6,sqrt,114,200,0 days 00:04:09.783762
1,0.7276498096852633,COMPLETE,6,sqrt,201,100,0 days 00:02:00.083406
2,0.791832372391626,COMPLETE,15,log2,158,300,0 days 00:09:27.234513
3,0.7813921973666959,COMPLETE,12,log2,201,300,0 days 00:08:46.476511
4,0.768992166406284,COMPLETE,10,log2,204,100,0 days 00:02:50.195394
5,0.7827485401976295,COMPLETE,8,0.3,122,400,0 days 00:24:50.647073
6,0.7828350528356453,COMPLETE,8,0.3,138,200,0 days 00:11:58.192437
7,0.7645696140545241,COMPLETE,10,log2,590,350,0 days 00:08:29.126290
8,0.7115339596633466,PRUNED,6,log2,536,400,0 days 00:06:13.151613
9,0.7865270071430781,COMPLETE,12,sqrt,333,100,0 days 00:03:47.500489
10,0.7670411855013562,COMPLETE,15,log2,933,250,0 days 00:07:02.230825
11,0.7894940007089953,COMPLETE,15,sqrt,349,200,0 days 00:07:42.936645
12,0.7918933750546173,COMPLETE,15,sqrt,330,200,0 days 00:07:54.830948
13,0.7870429654031834,COMPLETE,15,sqrt,459,300,0 days 00:11:55.164413
14,0.8143828047700301,COMPLETE,15,0.3,251,250,0 days 00:24:11.258510
15,0.8115187632397193,COMPLETE,15,0.3,294,150,0 days 00:14:08.263213
16,0.8150897853259942,COMPLETE,15,0.3,257,250,0 days 00:23:13.620447
17,0.8135239548786689,COMPLETE,15,0.3,255,250,0 days 00:24:13.083973
18,0.8148635477330229,COMPLETE,15,0.3,242,250,0 days 00:23:34.649829
19,0.7998996875323494,COMPLETE,10,0.3,435,350,0 days 00:26:06.988006
20,0.7835781164626308,PRUNED,8,0.3,160,150,0 days 00:09:08.513736
21,0.8145376785539362,COMPLETE,15,0.3,252,250,0 days 00:23:36.730790
22,0.815297418715133,COMPLETE,15,0.3,243,300,0 days 00:29:02.981232
23,0.8167872613124552,COMPLETE,15,0.3,188,300,0 days 00:29:19.536879
24,0.8138832231109353,COMPLETE,12,0.3,169,350,0 days 00:29:56.540546
25,,RUNNING,15,0.3,103,300,
