model,strategy,n_signals,n_executed,final_capital,roi,max_drawdown
logreg_l2,phat_gt_0.99,0,0,10000.0,0.0,0.0
logreg_l2,phat_gt_0.95,0,0,10000.0,0.0,0.0
logreg_l2,phat_gt_0.9,0,0,10000.0,0.0,0.0
logreg_l2,top1pct_phat,2571,831,9775.419999999996,-0.022458000000000356,226.40131578947512
logreg_l2,top1pct_edge,2571,495,5531.681199999998,-0.4468318800000002,4468.318800000002
logreg_l2,top5pct_edge,12858,579,27.05714966303605,-0.9972942850336963,9972.942850336964
logreg_l2,general_ev,119795,1250,2218.82537505761,-0.7781174624942391,7996.987561287151
logreg_l2,general_ev_late,2349,472,1415.110169746489,-0.858488983025351,8584.88983025351
logreg_l2,general_ev_cheap,79539,817,1201.5400725165237,-0.8798459927483476,8798.459927483476
logreg_l2,home_run,314,265,132.99805220915022,-0.986700194779085,9867.00194779085
random_forest,phat_gt_0.99,1483,500,10217.252918073234,0.02172529180732345,4.284842105264033
random_forest,phat_gt_0.95,6607,1258,11057.486055598387,0.10574860555983868,9.32521052631273
random_forest,phat_gt_0.9,12569,1573,11400.696665117011,0.14006966651170114,9.627999999996973
random_forest,top1pct_phat,2571,728,10435.783627004836,0.043578362700483556,3.6939999999958673
random_forest,top1pct_edge,2571,272,9635.592000000011,-0.03644079999999885,364.40799999998853
random_forest,top5pct_edge,12858,488,8406.829951999995,-0.15931700480000055,1593.1700480000054
random_forest,general_ev,115282,1723,2415.7337185642355,-0.7584266281435764,7883.786139971367
random_forest,general_ev_late,1898,522,1628.1285267866779,-0.8371871473213323,8371.871473213323
random_forest,general_ev_cheap,51097,819,1231.3435793741874,-0.8768656420625812,8768.656420625812
random_forest,home_run,4,1,9997.51,-0.0002489999999999782,2.4899999999997817
hist_gbm,phat_gt_0.99,0,0,10000.0,0.0,0.0
hist_gbm,phat_gt_0.95,0,0,10000.0,0.0,0.0
hist_gbm,phat_gt_0.9,0,0,10000.0,0.0,0.0
hist_gbm,top1pct_phat,2571,385,10404.76553432667,0.04047655343266706,1.4483684210499632
hist_gbm,top1pct_edge,2571,276,10195.13190302496,0.01951319030249597,76.00000000000364
hist_gbm,top5pct_edge,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,general_ev,112031,1470,2313.200551184107,-0.7686799448815893,7686.799448815893
hist_gbm,general_ev_late,2349,472,1415.110169746489,-0.858488983025351,8584.88983025351
hist_gbm,general_ev_cheap,40977,620,50.34822131616278,-0.9949651778683838,9949.651778683838
hist_gbm,home_run,0,0,10000.0,0.0,0.0
lightgbm,phat_gt_0.99,0,0,10000.0,0.0,0.0
