number,value,state,params_activation,params_alpha,params_arch_idx,params_batch_size,params_learning_rate_init,duration
0,0.6998088601889936,COMPLETE,relu,0.0002481040974867811,2,8192,0.0002051338263087451,0 days 00:01:01.628150
1,0.6998088601889936,COMPLETE,relu,0.0002481040974867811,2,8192,0.0002051338263087451,0 days 00:01:02.299151
2,0.6998088601889936,COMPLETE,relu,0.0002481040974867811,2,8192,0.0002051338263087451,0 days 00:01:02.327094
3,0.6998088601889936,COMPLETE,relu,0.0002481040974867811,2,8192,0.0002051338263087451,0 days 00:01:01.713486
4,0.6998088601889936,COMPLETE,relu,0.0002481040974867811,2,8192,0.0002051338263087451,0 days 00:01:01.970702
5,0.6998088601889936,COMPLETE,relu,0.0002481040974867811,2,8192,0.0002051338263087451,0 days 00:01:01.614622
6,0.8814192485457331,COMPLETE,relu,0.007579479953348004,4,2048,0.004622589001020831,0 days 00:00:45.618847
7,0.8814192485457331,COMPLETE,relu,0.007579479953348004,4,2048,0.004622589001020831,0 days 00:00:44.627708
8,0.8814192485457331,COMPLETE,relu,0.007579479953348004,4,2048,0.004622589001020831,0 days 00:00:44.135191
9,0.8814192485457331,COMPLETE,relu,0.007579479953348004,4,2048,0.004622589001020831,0 days 00:00:47.279513
10,0.8814192485457331,COMPLETE,relu,0.007579479953348004,4,2048,0.004622589001020831,0 days 00:00:43.896928
11,0.8814192485457331,COMPLETE,relu,0.007579479953348004,4,2048,0.004622589001020831,0 days 00:00:43.744559
12,0.7519235659790411,COMPLETE,relu,1.461896279370496e-05,2,8192,0.0016738085788752138,0 days 00:00:57.915440
13,0.7519235659790411,COMPLETE,relu,1.461896279370496e-05,2,8192,0.0016738085788752138,0 days 00:00:56.706636
14,0.7519235659790411,COMPLETE,relu,1.461896279370496e-05,2,8192,0.0016738085788752138,0 days 00:00:57.586419
15,0.7589577620425813,COMPLETE,tanh,1.0719864040714912e-06,7,4096,0.0012764937047792507,0 days 00:02:46.654950
16,0.7592219101649423,COMPLETE,tanh,1.0719864040714912e-06,7,4096,0.0017069490798489787,0 days 00:02:07.242059
17,0.7592219101649423,COMPLETE,tanh,1.0719864040714912e-06,7,4096,0.0017069490798489787,0 days 00:02:05.949773
18,0.8002973519767171,COMPLETE,tanh,0.0014257460044109084,6,4096,0.0017069490798489787,0 days 00:01:05.475764
19,0.7501459449094079,COMPLETE,tanh,0.0014257460044109084,6,4096,0.008040489951543944,0 days 00:01:05.819588
20,0.7501459449094079,COMPLETE,tanh,0.0014257460044109084,6,4096,0.008040489951543944,0 days 00:01:05.322471
21,0.7560951067122053,COMPLETE,tanh,0.0016166833713970766,6,2048,0.008640807045575565,0 days 00:00:40.224187
22,0.7838042972550601,COMPLETE,tanh,2.035395400403988e-06,0,2048,0.0004672941588975314,0 days 00:00:15.576641
23,0.7838042972550601,COMPLETE,tanh,2.035395400403988e-06,0,2048,0.0004672941588975314,0 days 00:00:15.585178
24,0.7837984455186464,COMPLETE,tanh,0.0016166833713970766,0,2048,0.0004672941588975314,0 days 00:00:15.874963
25,0.7518662276355147,COMPLETE,relu,0.0035974197956574233,0,2048,0.0004672941588975314,0 days 00:00:17.573526
26,0.8850306463077977,COMPLETE,relu,0.0033074327880213495,5,2048,0.0032004038300472103,0 days 00:01:53.313187
27,0.8850306463077977,COMPLETE,relu,0.0033074327880213495,5,2048,0.0032004038300472103,0 days 00:01:50.914546
28,0.8875726983716083,COMPLETE,relu,0.0035974197956574233,5,2048,0.003085473344630512,0 days 00:01:41.927055
29,0.8782392717181666,COMPLETE,relu,0.0005702167179686506,5,2048,0.0028151935432204262,0 days 00:01:23.795053
