model,strategy,initial_capital,max_bet_pct,n_signals,n_executed,final_capital,roi,max_drawdown,skipped_capital,skipped_concentration
logreg_l2,general_ev,1000,0.01,119795,366,1007.1256177221787,0.007125617722178731,130.00000000000034,0,112695
logreg_l2,general_ev,1000,0.05,119795,286,1040.6130902830982,0.040613090283098244,107.50000000000023,0,115834
logreg_l2,general_ev,1000,0.1,119795,281,1042.6130902830982,0.042613090283098246,106.5,0,115852
logreg_l2,general_ev,10000,0.01,119795,2049,10564.449384270145,0.05644493842701449,816.0000000000018,0,103103
logreg_l2,general_ev,10000,0.05,119795,1988,10584.356725382899,0.05843567253828987,807.0,0,105608
logreg_l2,general_ev,10000,0.1,119795,1988,10584.356725382899,0.05843567253828987,807.0,0,105608
logreg_l2,general_ev,100000,0.01,119795,11076,95378.50000000076,-0.046214999999992436,4621.499999999243,0,57778
logreg_l2,general_ev,100000,0.05,119795,11076,95378.50000000076,-0.046214999999992436,4621.499999999243,0,57778
logreg_l2,general_ev,100000,0.1,119795,11076,95378.50000000076,-0.046214999999992436,4621.499999999243,0,57778
logreg_l2,home_run,1000,0.01,314,39,980.4999999999999,-0.019500000000000114,19.500000000000114,0,245
logreg_l2,home_run,1000,0.05,314,16,991.9999999999999,-0.008000000000000113,8.000000000000114,0,285
logreg_l2,home_run,1000,0.1,314,8,995.9999999999999,-0.004000000000000114,4.000000000000114,0,296
logreg_l2,home_run,10000,0.01,314,83,9958.5,-0.00415,41.5,0,174
logreg_l2,home_run,10000,0.05,314,79,9960.5,-0.00395,39.5,0,180
logreg_l2,home_run,10000,0.1,314,79,9960.5,-0.00395,39.5,0,180
logreg_l2,home_run,100000,0.01,314,203,99898.50000000004,-0.0010149999999995633,101.49999999995634,0,0
logreg_l2,home_run,100000,0.05,314,203,99898.50000000004,-0.0010149999999995633,101.49999999995634,0,0
logreg_l2,home_run,100000,0.1,314,203,99898.50000000004,-0.0010149999999995633,101.49999999995634,0,0
logreg_l2,top1pct_phat,1000,0.01,2571,234,996.4999999999987,-0.0035000000000012504,3.500000000001478,0,0
logreg_l2,top1pct_phat,1000,0.05,2571,234,996.4999999999989,-0.0035000000000011368,3.5000000000013642,0,0
logreg_l2,top1pct_phat,1000,0.1,2571,234,1000.9169097680408,0.0009169097680407958,3.0000000000009095,0,0
logreg_l2,top1pct_phat,10000,0.01,2571,234,10001.090746151956,0.00010907461519564095,3.000000000010914,0,0
logreg_l2,top1pct_phat,10000,0.05,2571,234,10001.11000526314,0.00011100052631391008,3.000000000010914,0,0
logreg_l2,top1pct_phat,10000,0.1,2571,234,10001.11000526314,0.00011100052631391008,3.000000000010914,0,0
logreg_l2,top1pct_phat,100000,0.01,2571,234,100001.11000526299,1.1100052629917628e-05,3.0000000001018634,0,0
logreg_l2,top1pct_phat,100000,0.05,2571,234,100001.11000526299,1.1100052629917628e-05,3.0000000001018634,0,0
logreg_l2,top1pct_phat,100000,0.1,2571,234,100001.11000526299,1.1100052629917628e-05,3.0000000001018634,0,0
logreg_l2,top1pct_edge,1000,0.01,2571,100,950.0,-0.05,50.0,0,149
logreg_l2,top1pct_edge,1000,0.05,2571,94,953.0,-0.047,47.0,0,26
logreg_l2,top1pct_edge,1000,0.1,2571,94,953.0,-0.047,47.0,0,26
logreg_l2,top1pct_edge,10000,0.01,2571,120,9939.999999999996,-0.0060000000000003635,60.00000000000364,0,0
logreg_l2,top1pct_edge,10000,0.05,2571,120,9939.999999999996,-0.0060000000000003635,60.00000000000364,0,0
logreg_l2,top1pct_edge,10000,0.1,2571,120,9939.999999999996,-0.0060000000000003635,60.00000000000364,0,0
logreg_l2,top1pct_edge,100000,0.01,2571,120,99940.0,-0.0006,60.0,0,0
logreg_l2,top1pct_edge,100000,0.05,2571,120,99940.0,-0.0006,60.0,0,0
logreg_l2,top1pct_edge,100000,0.1,2571,120,99940.0,-0.0006,60.0,0,0
logreg_l2,top5pct_edge,1000,0.01,12858,186,908.4999999999995,-0.09150000000000046,91.50000000000057,0,8237
logreg_l2,top5pct_edge,1000,0.05,12858,138,932.4999999999993,-0.06750000000000068,67.50000000000068,0,11163
logreg_l2,top5pct_edge,1000,0.1,12858,136,933.4999999999993,-0.06650000000000068,66.50000000000068,0,11048
logreg_l2,top5pct_edge,10000,0.01,12858,762,9620.49999999999,-0.03795000000000091,379.5000000000091,0,7551
logreg_l2,top5pct_edge,10000,0.05,12858,738,9632.499999999989,-0.036750000000001094,367.5000000000109,0,7635
logreg_l2,top5pct_edge,10000,0.1,12858,738,9632.499999999989,-0.036750000000001094,367.5000000000109,0,7635
logreg_l2,top5pct_edge,100000,0.01,12858,2415,98794.0,-0.01206,1206.0,0,0
logreg_l2,top5pct_edge,100000,0.05,12858,2415,98794.0,-0.01206,1206.0,0,0
logreg_l2,top5pct_edge,100000,0.1,12858,2415,98794.0,-0.01206,1206.0,0,0
logreg_l2,phat_gt_0.9,1000,0.01,0,0,1000.0,0.0,0.0,0,0
logreg_l2,phat_gt_0.9,1000,0.05,0,0,1000.0,0.0,0.0,0,0
logreg_l2,phat_gt_0.9,1000,0.1,0,0,1000.0,0.0,0.0,0,0
logreg_l2,phat_gt_0.9,10000,0.01,0,0,10000.0,0.0,0.0,0,0
logreg_l2,phat_gt_0.9,10000,0.05,0,0,10000.0,0.0,0.0,0,0
logreg_l2,phat_gt_0.9,10000,0.1,0,0,10000.0,0.0,0.0,0,0
logreg_l2,phat_gt_0.9,100000,0.01,0,0,100000.0,0.0,0.0,0,0
logreg_l2,phat_gt_0.9,100000,0.05,0,0,100000.0,0.0,0.0,0,0
logreg_l2,phat_gt_0.9,100000,0.1,0,0,100000.0,0.0,0.0,0,0
random_forest,general_ev,1000,0.01,115282,381,1066.9941591034085,0.06699415910340849,91.00000000000057,0,107321
random_forest,general_ev,1000,0.05,115282,265,1094.8428856704852,0.0948428856704852,77.00000000000057,0,109284
random_forest,general_ev,1000,0.1,115282,260,1095.842885670485,0.09584288567048498,76.50000000000068,0,110060
random_forest,general_ev,10000,0.01,115282,1926,10710.287395614974,0.07102873956149743,417.50000000000546,0,98877
random_forest,general_ev,10000,0.05,115282,1832,10739.09392208681,0.07390939220868095,406.50000000000546,0,98881
random_forest,general_ev,10000,0.1,115282,1832,10739.09392208681,0.07390939220868095,406.50000000000546,0,98881
random_forest,general_ev,100000,0.01,115282,11130,97570.00000000038,-0.024299999999996217,2429.9999999996217,0,38280
random_forest,general_ev,100000,0.05,115282,11130,97570.00000000038,-0.024299999999996217,2429.9999999996217,0,38280
random_forest,general_ev,100000,0.1,115282,11130,97570.00000000038,-0.024299999999996217,2429.9999999996217,0,38280
random_forest,home_run,1000,0.01,4,0,1000.0,0.0,0.0,0,0
random_forest,home_run,1000,0.05,4,0,1000.0,0.0,0.0,0,0
random_forest,home_run,1000,0.1,4,0,1000.0,0.0,0.0,0,0
random_forest,home_run,10000,0.01,4,0,10000.0,0.0,0.0,0,0
random_forest,home_run,10000,0.05,4,0,10000.0,0.0,0.0,0,0
random_forest,home_run,10000,0.1,4,0,10000.0,0.0,0.0,0,0
random_forest,home_run,100000,0.01,4,0,100000.0,0.0,0.0,0,0
random_forest,home_run,100000,0.05,4,0,100000.0,0.0,0.0,0,0
random_forest,home_run,100000,0.1,4,0,100000.0,0.0,0.0,0,0
random_forest,top1pct_phat,1000,0.01,2571,454,1000.0000000000005,4.547473508864641e-16,6.821210263296962e-13,0,988
random_forest,top1pct_phat,1000,0.05,2571,430,1000.0000000000001,1.1368683772161603e-16,7.958078640513122e-13,0,815
random_forest,top1pct_phat,1000,0.1,2571,422,1000.0,0.0,9.094947017729282e-13,0,1208
random_forest,top1pct_phat,10000,0.01,2571,674,9999.999999999985,-1.4551915228366853e-15,3.637978807091713e-11,0,0
random_forest,top1pct_phat,10000,0.05,2571,674,9999.999999999984,-1.6370904631912708e-15,3.637978807091713e-11,0,0
random_forest,top1pct_phat,10000,0.1,2571,674,9999.999999999984,-1.6370904631912708e-15,3.637978807091713e-11,0,0
random_forest,top1pct_phat,100000,0.01,2571,674,99999.99999999983,-1.7462298274040223e-15,2.6193447411060333e-10,0,0
random_forest,top1pct_phat,100000,0.05,2571,674,99999.99999999983,-1.7462298274040223e-15,2.6193447411060333e-10,0,0
