split,market_id,n,base_rate
test,1466015,90730,0.5081
test,1569627,37601,0.4962
test,1466016,35432,0.4925
test,1466014,24967,0.5373
test,1466013,16374,0.4861
test,1484894,13011,0.4818
test,1484895,12826,0.4912
test,1466012,12031,0.4869
test,1706788,9078,0.5415
test,1571566,5127,0.5106
train,1092199,119842,0.4739
train,1198423,117638,0.5249
train,984441,74741,0.4988
train,984442,54528,0.5484
train,1386664,43652,0.4944
train,1168862,39416,0.4694
train,1320793,39070,0.4695
train,1273610,31244,0.4891
train,1157513,30870,0.4758
train,1273609,28785,0.4957
train,1367195,23374,0.5213
train,1386659,22164,0.5007
train,1399042,21186,0.5417
train,1386662,20532,0.5211
train,1335520,20015,0.4705
train,1236230,19942,0.4875
train,1386656,19836,0.4742
train,1386657,19406,0.4883
train,1367169,18410,0.4879
train,1175548,18095,0.488
train,1175524,17223,0.4947
train,1386650,16882,0.4825
train,1386661,16501,0.5179
train,1175504,16179,0.5036
train,1157512,15115,0.4818
train,1139590,14156,0.4814
train,1175547,13836,0.5012
train,1399064,11093,0.5518
train,1367168,11020,0.4884
train,1294628,10119,0.5134
train,1399088,9923,0.5127
train,1294616,9753,0.48
train,1252879,9209,0.4925
train,1294617,9043,0.4867
train,1294627,8896,0.5661
train,1388693,8665,0.5162
train,1157511,8417,0.5017
train,1294626,7931,0.5282
train,1399065,7632,0.5432
train,1252875,7505,0.5178
train,1367167,7343,0.5274
train,1252874,6971,0.5253
train,1399067,6919,0.5285
train,1252878,6595,0.4808
train,1335518,6457,0.5489
train,1399066,6252,0.5461
train,1360606,5567,0.5779
train,1399072,5462,0.545
train,1335519,5389,0.5133
train,1367166,5343,0.5536
train,1360603,5239,0.4942
train,1367165,5085,0.5992
train,1360604,4587,0.5328
train,1367164,4455,0.6117
train,1252877,4051,0.4836
train,1252876,3823,0.5161
train,1437691,2797,0.571
train,1437693,2307,0.5362
train,1437723,1953,0.5709
train,1437737,1508,0.5405
train,1437724,1454,0.5454
train,1437734,1328,0.5873
train,1437725,1274,0.5495
