feature,importance
is_buy,0.47453632896499764
is_token1,0.11019030214916968
price,0.08141468195810088
time_to_settlement_s,0.055828427174682824
log_time_to_settlement,0.048575142888136726
market_vol_24h_log,0.024089469378169394
pct_time_elapsed,0.022124388696601854
market_cumtrades_log,0.021468282887708943
market_cumtrades,0.021219178835878334
market_cumvol_log,0.020984050159587753
market_price_std_1h,0.015544650348127463
log_token_amount,0.015292725205358793
log_size,0.011743178158958372
wallet_polymarket_age_days,0.009684067797928332
size_x_log_time,0.009643504550107913
market_trades_1h_log,0.008342532331389367
market_vol_1h_log,0.007395152922259883
market_price_mean_1h,0.005803273684606336
wallet_prior_trades_in_market,0.005516826081257079
wallet_prior_trades_log,0.005329245473285071
size_vs_market_cumvol_pct,0.00396645439759917
wallet_cumvol_same_side_last_10min,0.0037896476085682745
wallet_trades_in_market_last_1h,0.00277207043716112
wallet_is_new_to_polymarket,0.002509291085738725
wallet_prior_markets,0.0022124660209108353
wallet_trades_in_market_last_10min,0.0019612610511816693
wallet_spread_ratio,0.0018807668386803381
wallet_trades_in_market_last_1min,0.0018111490434356188
wallet_directional_purity_in_market,0.0018091383972344164
trade_size_vs_position_pct,0.0013523876499513927
is_position_flip,0.0003356123917644649
wallet_is_burst,0.00030562543054051813
is_position_exit,0.00027504672448190517
wallet_is_whale_in_market,0.0001998404997452812
wallet_has_both_sides_in_market,9.383277669386874e-05
