,skewness
size_vs_market_cumvol_pct,559.645330789285
usd_amount,83.74893651052031
token_amount,41.78470681546862
wallet_t1_position_before,-37.85734292472098
wallet_cumvol_same_side_last_10min,26.879585857017343
wallet_t1_cumvol_in_market,13.466805090246826
wallet_trades_in_market_last_1h,12.613385315894142
wallet_t2_cumvol_in_market,11.32692500263735
wallet_position_same_token_before,-11.02367730003184
wallet_total_cumvol_in_market,10.070862102586252
wallet_trades_in_market_last_1min,7.8975919133280925
wallet_t2_position_before,-7.799422593738953
wallet_trades_in_market_last_10min,7.666411591592544
trade_size_vs_position_pct,7.051434531531662
market_vol_1h,5.874444118182276
wallet_prior_trades,5.465435297232273
market_trades_1h,5.347092854325325
wallet_prior_trades_in_market,5.306905948840952
wallet_is_whale_in_market,4.129138938042356
is_position_exit,4.116789606196472
market_vol_24h,3.609869357082201
is_position_flip,3.1525809256187256
log_time_to_settlement,-2.6282369112035067
wallet_is_new_to_polymarket,2.623481800225963
wallet_polymarket_age_days,1.883851094396968
time_to_settlement_s,1.7099009434251489
market_cumvol,1.508719107932249
market_cumtrades_log,-1.456522184997469
settlement_ts,1.4239919262943863
wallet_is_burst,1.0219203349278327
wallet_spread_ratio,1.020520032260499
market_cumvol_log,-0.9663209163916607
wallet_has_both_sides_in_market,-0.9080372347604174
wallet_prior_markets,0.8858857003737962
log_size,0.6870016451776461
size_x_log_time,0.6803706082613793
market_trades_1h_log,0.619846176560358
market_cumtrades,0.604594163868953
wallet_directional_purity_in_market,-0.5855864751825034
log_token_amount,0.4882226393608642
market_price_mean_1h,0.4611884855622946
wallet_prior_trades_log,0.4554269655004001
is_buy,0.3899697507924392
market_vol_24h_log,-0.2322266123145016
market_price_std_1h,0.09451223805096634
timestamp,-0.05559466207778633
block_number,-0.05540153828572338
pct_time_elapsed,-0.03708038145194066
price,-0.030708164346000322
market_vol_1h_log,0.018952964558699312
bet_correct,-0.006465615405975149
market_implied_prob,0.0049059466747663006
is_token1,0.0028544177907747
