feature,auc_after_permute,delta_auc
is_buy,0.5108,0.0723
is_token1,0.5159,0.0672
market_price_std_1h,0.525,0.0581
time_to_settlement_s,0.5402,0.0429
market_vol_24h_log,0.5729,0.0102
wallet_prior_markets,0.5763,0.0068
market_trades_1h_log,0.5767,0.0064
wallet_spread_ratio,0.5773,0.0058
market_cumvol_log,0.5792,0.0039
size_x_log_time,0.5797,0.0035
market_vol_1h_log,0.5805,0.0026
wallet_cumvol_same_side_last_10min,0.5813,0.0018
size_vs_market_cumvol_pct,0.5815,0.0016
wallet_trades_in_market_last_1h,0.5816,0.0015
wallet_prior_trades_log,0.582,0.0011
market_price_mean_1h,0.583,0.0001
log_size,0.583,0.0001
wallet_is_burst,0.5832,-0.0
log_token_amount,0.5831,0.0
log_time_to_settlement,0.5832,-0.0001
market_cumtrades,0.5832,-0.0001
trade_size_vs_position_pct,0.5832,-0.0001
wallet_is_whale_in_market,0.5832,-0.0001
wallet_trades_in_market_last_10min,0.5833,-0.0002
is_position_flip,0.5834,-0.0003
wallet_trades_in_market_last_1min,0.5834,-0.0003
wallet_is_new_to_polymarket,0.5834,-0.0003
wallet_prior_trades_in_market,0.5834,-0.0003
wallet_polymarket_age_days,0.5836,-0.0005
wallet_has_both_sides_in_market,0.5841,-0.001
is_position_exit,0.5842,-0.0011
price,0.5848,-0.0017
pct_time_elapsed,0.5858,-0.0027
wallet_directional_purity_in_market,0.5871,-0.004
market_cumtrades_log,0.6103,-0.0272
