model,strategy,cost_floor,copycats,n_signals,n_executed,final_capital,roi,max_drawdown
hist_gbm,general_ev,0.001,1,112031,1338,12368.46707919005,0.23684670791900497,120.50000000000364
hist_gbm,general_ev,0.001,5,112031,1828,12029.693704180147,0.20296937041801466,285.4999999999982
hist_gbm,general_ev,0.001,10,112031,2099,11383.845143750235,0.13838451437502353,362.4999999999927
hist_gbm,general_ev,0.001,25,112031,2145,10455.02099810156,0.04550209981015596,522.4999999999945
hist_gbm,general_ev,0.001,50,112031,2336,9829.103000770894,-0.017089699922910585,666.9999999999891
hist_gbm,general_ev,0.001,100,112031,2254,9254.499999999982,-0.07455000000000182,745.5000000000182
hist_gbm,general_ev,0.01,1,112031,1338,12368.46707919005,0.23684670791900497,120.50000000000364
hist_gbm,general_ev,0.01,5,112031,1828,12029.693704180147,0.20296937041801466,285.4999999999982
hist_gbm,general_ev,0.01,10,112031,2099,11383.845143750235,0.13838451437502353,362.4999999999927
hist_gbm,general_ev,0.01,25,112031,2145,10455.02099810156,0.04550209981015596,522.4999999999945
hist_gbm,general_ev,0.01,50,112031,2336,9829.103000770894,-0.017089699922910585,666.9999999999891
hist_gbm,general_ev,0.01,100,112031,2254,9254.499999999982,-0.07455000000000182,745.5000000000182
hist_gbm,general_ev,0.05,1,112031,1338,12368.46707919005,0.23684670791900497,120.50000000000364
hist_gbm,general_ev,0.05,5,112031,1828,12029.693704180147,0.20296937041801466,285.4999999999982
hist_gbm,general_ev,0.05,10,112031,2099,11383.845143750235,0.13838451437502353,362.4999999999927
hist_gbm,general_ev,0.05,25,112031,2145,10455.02099810156,0.04550209981015596,522.4999999999945
hist_gbm,general_ev,0.05,50,112031,2336,9829.103000770894,-0.017089699922910585,666.9999999999891
hist_gbm,general_ev,0.05,100,112031,2254,9254.499999999982,-0.07455000000000182,745.5000000000182
hist_gbm,general_ev,0.1,1,112031,1338,12368.46707919005,0.23684670791900497,120.50000000000364
hist_gbm,general_ev,0.1,5,112031,1828,12029.693704180147,0.20296937041801466,285.4999999999982
hist_gbm,general_ev,0.1,10,112031,2099,11383.845143750235,0.13838451437502353,362.4999999999927
hist_gbm,general_ev,0.1,25,112031,2145,10455.02099810156,0.04550209981015596,522.4999999999945
