,skewness
size_vs_market_cumvol_pct,994.0879130526114
size_vs_wallet_avg,542.669127081449
trade_value_usd,84.9576315823047
wallet_cumvol_same_side_last_10min,45.18913327222134
wallet_trades_in_market_last_1min,22.430387270957173
wallet_trades_in_market_last_60min,14.144548425964622
wallet_position_size_before_trade,-13.927646089252669
wallet_trades_in_market_last_10min,13.31069577597129
wallet_prior_trades_in_market,10.100201062730555
wallet_prior_volume_usd,7.054745736759932
wallet_prior_trades,6.388392365619242
time_to_settlement_s,3.3514114902491126
market_volume_so_far_usd,2.844791495790662
log_time_to_settlement,-1.8312962240937922
market_trade_count_so_far,1.8142249017913457
wallet_first_minus_trade_sec,-1.2273383554487862
market_vol_24h_log,-0.6237743834100458
pct_time_elapsed,-0.5735385618148194
wallet_directional_purity_in_market,0.5595771182456254
market_price_vol_last_1h,-0.45749863026574783
market_vol_1h_log,-0.4297592098522518
log_size,0.3810777430959923
size_x_time_to_settlement,0.30285202215271334
wallet_spread_ratio,0.2193264237471579
trade_size_vs_position_pct,-0.18508089915618317
wallet_prior_win_rate,-0.04119442356500477
