per-market trade counts and base rates

split market_id      n  base_rate
 test   1466015  90730   0.508145
 test   1569627  37601   0.496184
 test   1466016  35432   0.492521
 test   1466014  24967   0.537349
 test   1466013  16374   0.486137
 test   1484894  13011   0.481823
 test   1484895  12826   0.491190
 test   1466012  12031   0.486909
 test   1706788   9078   0.541529
 test   1571566   5127   0.510630
train   1092199 119842   0.473924
train   1198423 117638   0.524898
train    984441  74741   0.498843
train    984442  54528   0.548434
train   1386664  43652   0.494410
train   1168862  39416   0.469403
train   1320793  39070   0.469465
train   1273610  31244   0.489150
train   1157513  30870   0.475769
train   1273609  28785   0.495675
train   1367195  23374   0.521306
train   1386659  22164   0.500677
train   1399042  21186   0.541678
train   1386662  20532   0.521138
train   1335520  20015   0.470497
train   1236230  19942   0.487514
train   1386656  19836   0.474188
train   1386657  19406   0.488251
train   1367169  18410   0.487941
train   1175548  18095   0.487980
train   1175524  17223   0.494687
train   1386650  16882   0.482467
train   1386661  16501   0.517908
train   1175504  16179   0.503616
train   1157512  15115   0.481773
train   1139590  14156   0.481421
train   1175547  13836   0.501156
train   1399064  11093   0.551789
train   1367168  11020   0.488385
train   1294628  10119   0.513391
train   1399088   9923   0.512748
train   1294616   9753   0.479955
train   1252879   9209   0.492453
train   1294617   9043   0.486675
train   1294627   8896   0.566097
train   1388693   8665   0.516215
train   1157511   8417   0.501723
train   1294626   7931   0.528181
train   1399065   7632   0.543239
train   1252875   7505   0.517788
train   1367167   7343   0.527441
train   1252874   6971   0.525319
train   1399067   6919   0.528545
train   1252878   6595   0.480819
train   1335518   6457   0.548862
train   1399066   6252   0.546065
train   1360606   5567   0.577870
train   1399072   5462   0.545038
train   1335519   5389   0.513268
train   1367166   5343   0.553622
train   1360603   5239   0.494178
train   1367165   5085   0.599213
train   1360604   4587   0.532810
train   1367164   4455   0.611672
train   1252877   4051   0.483584
train   1252876   3823   0.516087
train   1437691   2797   0.570969
train   1437693   2307   0.536194
train   1437723   1953   0.570917
train   1437737   1508   0.540451
train   1437724   1454   0.545392
train   1437734   1328   0.587349
train   1437725   1274   0.549451
