,mi
realized_vol_1h,0.07895
jump_component_1h,0.07874
log_recent_volume_24h,0.07626
market_price_vol_last_24h,0.07458
signed_oi_autocorr_1h,0.07441
recent_price_mean_24h,0.07348
avg_trade_size_recent_1h,0.07347
market_price_vol_last_1h,0.07335
yes_volume_share_recent_1h,0.07311
log_recent_volume_1h,0.07277
order_flow_imbalance_24h,0.07211
order_flow_imbalance_1h,0.07137
recent_price_mean_1h,0.06786
log_recent_volume_5min,0.06266
pct_time_elapsed,0.0611
log_time_to_deadline_hours,0.06078
yes_volume_share_recent_5min,0.05428
token_side_skew_5min,0.05343
log_taker_first_minutes_ago_in_market,0.05226
order_flow_imbalance_5min,0.05138
market_price_vol_last_5min,0.04814
yes_buy_pressure_5min,0.04234
recent_price_mean_5min,0.04052
log_payoff_if_correct,0.03815
contrarian_score,0.0376
risk_reward_ratio_pre,0.03621
pre_trade_price_change_1h,0.03182
pre_trade_price_change_24h,0.0308
contrarian_strength,0.02586
wallet_polygon_age_at_t_days,0.02461
days_from_first_usdc_to_t,0.02445
pre_trade_price_change_5min,0.01976
log_trade_count_24h,0.01894
market_buy_share_running,0.01812
log_size,0.01614
outcome_yes,0.01394
taker_traded_in_event_id_before,0.01314
trade_size_vs_recent_avg,0.01217
log_n_trades_to_date,0.01151
trade_size_to_recent_volume_ratio,0.01107
is_within_24h_of_deadline,0.00987
side_buy,0.00974
log_size_vs_taker_avg,0.00968
taker_position_size_before_trade,0.00951
pre_trade_price,0.00625
is_within_5min_of_deadline,0.00593
taker_first_trade_in_market,0.00583
is_within_1h_of_deadline,0.00558
log_taker_cumvol_in_market,0.00507
log_taker_prior_volume_total_usd,0.00448
day_of_week_cos,0.00445
taker_yes_share_global,0.00441
log_taker_prior_trades_in_market,0.00429
implied_variance,0.00428
taker_directional_purity_in_market,0.00407
consensus_strength,0.00401
day_of_week_sin,0.00397
log_same_block_trade_count,0.00364
log_taker_prior_trades_total,0.00331
is_long_shot_buy,0.00331
log_taker_unique_markets_traded,0.0033
log_trade_count_1h,0.00324
distance_from_boundary,0.00274
wallet_polygon_nonce_at_t,0.00221
wallet_log_polygon_nonce_at_t,0.00195
recent_price_low_1h,0.00179
log_taker_burst_5min,0.00179
wallet_log_n_inbound_at_t,0.00173
log_trade_count_5min,0.0016
wallet_cex_usdc_cumulative_at_t,0.00144
recent_price_high_1h,0.00135
hour_of_day_sin,0.00102
log_maker_prior_trades_in_market,0.00032
recent_price_range_1h,0.00015
log_time_since_last_trade,0.0
kyle_lambda_market_static,0.0
wallet_n_inbound_at_t,0.0
wallet_n_cex_deposits_at_t,0.0
wallet_log_cex_usdc_cum,0.0
