feature,excess_kurtosis,skew,p1,p5,p95,p99,tail_mean_below_p5,tail_mean_above_p95
wallet_cex_usdc_cumulative_at_t,183613.848,420.3,0.0,0.0,0.0,0.0,0.0,187.823
signed_oi_autocorr_1h,56555.497,227.022,-40031.407,-4401.037,469932.966,1793666.48,-46882.658,2427271.369
trade_size_to_recent_volume_ratio,1919.343,41.876,0.0,0.0,0.083,0.681,0.0,1.706
wallet_n_cex_deposits_at_t,670.143,24.114,0.0,0.0,0.0,0.0,0.0,0.052
avg_trade_size_recent_1h,577.813,11.029,6.701,22.824,547.675,964.684,13.259,832.396
wallet_log_cex_usdc_cum,203.847,14.001,0.0,0.0,0.0,0.0,0.0,0.05
trade_size_vs_recent_avg,135.715,10.525,0.0,0.001,5.492,25.167,0.0,19.429
days_from_first_usdc_to_t,13.143,2.916,0.001,0.043,539.366,857.667,0.009,756.62
wallet_polygon_age_at_t_days,13.093,2.921,0.001,0.043,542.763,885.441,0.009,765.182
realized_vol_1h,10.997,3.103,0.001,0.054,189.044,389.64,0.012,302.831
jump_component_1h,10.358,3.001,0.0,0.0,53.621,107.722,0.0,86.239
risk_reward_ratio_pre,8.752,3.029,0.01,0.014,61.5,99.0,0.011,88.097
yes_buy_pressure_5min,5.799,2.586,0.0,0.0,0.779,1.0,0.0,0.943
is_long_shot_buy,5.753,2.784,0.0,0.0,1.0,1.0,0.0,1.0
taker_traded_in_event_id_before,5.619,-2.76,0.0,0.0,1.0,1.0,0.0,1.0
