ticket_id,ticket_text,class_hint,notes
Q00,<paste paraphrased ticket text here>,,
Q01,<paste paraphrased ticket text here>,,
Q02,<paste paraphrased ticket text here>,,
Q03,<paste paraphrased ticket text here>,,
Q04,<paste paraphrased ticket text here>,,
Q05,<paste paraphrased ticket text here>,,
Q06,<paste paraphrased ticket text here>,,
Q07,<paste paraphrased ticket text here>,,
Q08,<paste paraphrased ticket text here>,,
Q09,<paste paraphrased ticket text here>,,
Q10,<paste paraphrased ticket text here>,,
Q11,<paste paraphrased ticket text here>,,
Q12,<paste paraphrased ticket text here>,,
Q13,<paste paraphrased ticket text here>,,
Q14,<paste paraphrased ticket text here>,,
Q15,<paste paraphrased ticket text here>,,
Q16,<paste paraphrased ticket text here>,,
Q17,<paste paraphrased ticket text here>,,
Q18,<paste paraphrased ticket text here>,,
Q19,<paste paraphrased ticket text here>,,
