run_label,ticket_id,ticket_text_redacted,class_hint,retrieved_document,retrieved_chunk_excerpt_redacted,final_llm_answer_redacted,latency_seconds,correctness,usefulness,notes,captured_at
after,Q01,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q02,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q03,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q04,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q05,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q06,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q07,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q08,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q09,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q10,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q11,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q12,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q13,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q14,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q15,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q16,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q17,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q18,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q19,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
after,Q20,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:18:26Z
