run_label,ticket_id,ticket_text_redacted,class_hint,retrieved_document,retrieved_chunk_excerpt_redacted,final_llm_answer_redacted,latency_seconds,correctness,usefulness,notes,captured_at
before,Q01,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q02,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q03,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q04,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q05,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q06,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q07,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q08,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q09,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q10,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q11,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q12,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q13,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q14,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q15,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q16,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q17,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q18,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q19,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
before,Q20,,,,,NO_ANSWER,,pending,pending,,2026-05-07T00:20:00Z
